TotalPages,BookComplexity,ReadabilityScore,ReadingEngagementIndex,EstimatedReadingTime,ActualReadingTime,ScrollSpeed,ScrollDepth,BacktrackingRate,PageJumpRate,ExitFrequency,Flag
967,167,2.7119282232072357,3.506192822320723,596.6778109691397,1649.120597945777,-62.226393120271496,275.3096411160362,13.765482055801808,-9.878560656148881,-0.0,0
881,846,1.0830715468415648,4.443307154684156,735.0327331917607,2022.3022412743194,-88.46271276212948,322.1653577342078,68.13797316078495,-1.221653577342078,-0.0,0
590,806,4.773518875979004,3.859351887597901,150.68848883418923,455.4465115385773,-243.65816828942062,292.96759437989505,59.03297026754885,-0.9296759437989506,-0.0,0
806,169,4.316926770999,3.1876926770998995,258.8063591716986,642.4500498464065,-82.08566165725634,259.384633854995,12.96923169274975,-8.026061393726291,-0.0,0
843,183,4.741075364381727,3.3691075364381726,225.6636014614254,646.8654023658654,-193.48512746965017,268.45537682190866,13.422768841095431,-9.096771869328919,-0.0,0
794,825,1.7824630860000843,4.210246308600008,672.7852565450662,2372.633712087936,-212.29735497413108,310.5123154300004,64.04316505743759,-1.1051231543000042,-0.0,0
502,281,4.833142512577895,2.5513142512577893,119.1326841819118,227.03319499546808,-48.09320031494495,227.56571256288947,15.986491307542986,-3.309747391213589,-0.0,0
710,891,4.390530793542851,4.351053079354285,270.3450619458427,1059.350107465965,-235.4551482126735,317.55265396771426,70.73485367130834,-1.1755265396771426,-0.0,0
288,759,4.685145646720429,2.850514564672043,60.946485856157686,133.22387590976544,-59.48777351333801,242.52572823360214,46.01925693232601,-0.42525728233602145,-0.0,0
759,848,3.835803697336628,4.3565803697336625,315.6589433688471,1166.5367553161943,-260.50506863261927,317.82901848668314,67.37975191917683,-1.1782901848668312,-0.0,0
542,576,3.436699517518633,3.1216699517518633,281.2248194491177,866.0458048838058,-96.75820876826859,256.0834975875932,36.87602365261342,-0.8760175997117671,-0.0,0
832,843,3.887370999020959,4.570737099902097,361.02825667319803,1252.5915343859235,-123.7486892140229,328.5368549951048,69.23914219021835,-1.2853685499510483,-0.0,0
418,564,4.815902856322171,2.8635902856322173,90.62796179854239,221.2857452009197,-55.376336755409824,243.17951428161084,34.28831151370713,-1.2331396728299768,-0.0,0
997,376,1.9038108434130154,3.933381084341301,801.7741553981743,2423.591260617593,-82.43201807411484,296.669054217065,27.886891096404113,-5.85481390669462,-0.0,0
215,811,3.4673994051036887,2.613739940510369,106.66334044699366,218.83517976340616,-52.5985725128483,230.68699702551845,46.77178864692386,-0.3068699702551845,-0.0,0
735,901,4.877076977394105,4.494707697739411,178.56297669210355,527.0257043378186,-128.89763559664783,324.73538488697056,73.14664544579011,-1.2473538488697056,-0.0,0
775,166,3.7895340963505872,3.0359534096350584,280.4660837581376,578.5419381900224,-51.94888479297754,251.79767048175293,12.589883524087647,-7.098900905428874,-0.0,0
711,209,3.747639914732853,2.925763991473285,357.55970443230996,889.2408056705382,-99.16836142908758,246.2881995736643,12.868558427723958,-6.279327911093623,-0.0,0
971,908,3.838729292229245,5.112872929222925,351.4547030599082,1251.837008787262,-405.61642998446945,355.64364646114626,80.7311077466802,-1.5564364646114623,-0.0,0
449,961,3.6373239468197456,3.632732394681974,220.6851224335946,547.73121647532,-119.52397076062276,281.6366197340987,67.6631978911172,-0.816366197340987,-0.0,0
299,605,4.729170303492668,2.5799170303492667,79.85327652199197,197.73078893729024,-68.74102656208714,228.9958515174633,34.63562254201633,-0.7777234612766097,-0.0,0
573,796,1.0541772956976083,3.416417729569761,488.8516163292134,1355.8788421213953,-108.93451230715678,270.82088647848803,53.893356409219116,-0.7082088647848805,-0.0,0
334,692,3.4721499222470973,2.73321499222471,148.0373553420902,321.2015607013637,-37.90944611434979,236.66074961123547,40.94230968274374,-0.3666074961123551,-0.0,0
67,920,4.90971347632988,2.531971347632988,16.919083055648233,44.27361983686364,-49.34484962862008,226.5985673816494,52.11767049777936,-0.2659856738164941,-0.0,0
850,532,2.2124150952077892,3.835241509520779,524.9340218499306,1548.4045432077373,-175.60591054401763,291.76207547603894,38.80435603831319,-0.9176207547603894,-0.0,0
436,462,4.929959327176247,2.7249959327176247,98.78871076027777,200.1371246232626,-54.676012933763644,236.24979663588124,27.286851511444283,-2.3042452365595283,-0.0,0
499,705,1.1694369705755694,3.023943697057557,472.20518516567313,1202.2025267543297,-59.60666211868029,251.19718485287788,44.273503830319726,-0.5119718485287785,-0.0,0
824,756,2.782699914629671,4.262269991462967,547.6724083648963,1975.4727929815242,-181.64398225358937,313.1134995731483,59.17845141932503,-1.1311349957314834,-0.0,0
969,748,3.7416264921612843,4.777162649216128,433.9511775535778,1709.316843447172,-138.70899930886574,338.85813246080636,63.36647077017079,-1.3885813246080638,-0.0,0
823,408,2.2171868062333027,3.5067186806233304,690.3686185715383,1622.9634949671263,-90.43609869159067,275.3359340311665,28.08426527117898,-4.488415027316701,-0.0,0
810,447,2.6624058674586712,3.5902405867458667,440.55214336333876,1097.1352302735484,-111.80302454149147,279.5120293372933,31.235469278442533,-3.48442811930043,-0.0,0
753,358,4.7304680686813345,3.4480468068681334,201.2220332179856,499.3670119027005,-182.50504900594515,272.40234034340665,24.380009460734893,-5.654619355923322,-0.0,0
819,179,1.4814590471209188,2.9631459047120923,633.9622240131026,1353.6443228183646,-48.99866999583646,248.15729523560464,12.407864761780232,-6.643813014238395,-0.0,0
707,984,2.7964417634610097,4.3686441763461,530.9915415857056,1802.7856481305214,-240.00424599774587,318.432208817305,78.33432336905703,-1.18432208817305,-0.0,0
